YEAR,MO,DY,DLI_uv_b_mol_m2_d,DLI_uv_a_mol_m2_d,DLI_blue_mol_m2_d,DLI_green_mol_m2_d,DLI_red_mol_m2_d,DLI_farred_mol_m2_d,DLI_PAR_mol_m2_d,DLI_ePAR_mol_m2_d
2020,1,1,0.021267422306752194,1.8625727053545678,7.212836700625913,9.55108381796885,10.412551077746798,4.9516519102822425,27.17647159634156,32.1281235066238
2020,1,2,0.011515262337073362,1.0084914389095954,3.9053960373855308,5.1714417563613715,5.637883873702279,2.681075775256444,14.714721667449181,17.395797442705625
2020,1,3,0.007272797265520603,0.6369419614165859,2.4665659183487563,3.26617374085981,3.560768762338278,1.6933110159514324,9.293508421546845,10.986819437498276
2020,1,4,0.017135151133159564,1.5006738636405974,5.811378792473211,7.695303283389409,8.389387008236405,3.9895433784916503,21.89606908409902,25.88561246259067
2020,1,5,0.00848493014310749,0.7430989549860192,2.8776602380735468,3.8105360310031124,4.154230222727993,1.9755295186100095,10.842426491804652,12.817956010414662
2020,1,6,0.02749337754163139,2.407833626870284,9.324366615575986,12.347126490068542,13.460784942475783,6.401228764846731,35.13227804812031,41.53350681296704
2020,1,7,0.012837589112623069,1.1242990682580678,4.353862567994396,5.765291527426789,6.285296375945601,2.988950505429433,16.404450471366786,19.39340097679622
2020,1,8,0.007989057602277312,0.699671093980341,2.709485289095223,3.587842366853581,3.911450534386745,1.8600764947951396,10.208778190335549,12.068854685130688
2020,1,9,0.008374736245145028,0.733448319206978,2.8402880271894753,3.7610485500809956,4.100279180874383,1.9498732910955952,10.701615758144854,12.651489049240448
2020,1,10,0.011515262337074436,1.0084914389095954,3.9053960373855294,5.17144175636137,5.637883873702277,2.6810757752564416,14.714721667449176,17.395797442705618
2020,1,11,0.018622768755653857,1.6309574466576255,6.315903639408183,8.363384275838008,9.117726073260148,4.335902449936262,23.79701398850634,28.1329164384426
2020,1,12,0.011680553184019022,1.0229673925781577,3.9614543537116393,5.2456729777445466,5.718810436482694,2.7195601165280663,14.925937767938878,17.645497884466945
2020,1,13,0.01768612062297312,1.5489270425357933,5.998239846893572,7.942740688000002,8.659142217504458,4.117824516063728,22.600122752398033,26.71794726846176
2020,1,14,0.011239777592168465,0.9843648494619985,3.8119655101753507,5.047723054056073,5.5030062690682495,2.6169352064704046,14.362694833299672,16.979630039770075
2020,1,15,0.018953350449539448,1.6599093539947445,6.4280202720604,8.511846718604366,9.279579198820977,4.412871132479507,24.21944618948574,28.63231732196525
2020,1,16,0.026722020255893986,2.340279176417012,9.062761139387483,12.000714123613712,13.08312764950051,6.22163517224582,34.146602912501706,40.368238084747524
2020,1,17,0.009146093530879924,0.8010027696602543,3.1018935033779766,4.107460916535825,4.477936473849653,2.129466883696502,11.687290893763455,13.816757777459957
2020,1,18,0.022369361286376798,1.9590790631449602,7.586558809466634,10.045958627190036,10.952061496282903,5.208214185426395,28.58457893293957,33.79279311836597
2020,1,19,0.020551161969996557,1.7998435727908129,6.969917329879445,9.229415191975082,10.061869305698329,4.78488643143854,26.26120182755286,31.0460882589914
2020,1,20,0.01741063587806697,1.5248004530881942,5.904809319683389,7.819021985694704,8.524264612870434,4.0536839472776895,22.248095918248527,26.301779865526214
2020,1,21,0.029972740245785497,2.6249729318986694,10.165241360467613,13.460594810816207,14.674683384182018,6.97849388392109,38.30051955546584,45.27901343938693
2020,1,22,0.019945095531202668,1.7467650760060955,6.764370170017048,8.95723404690343,9.76513857550347,4.643777180109251,25.486742792423946,30.1305199725332
2020,1,23,0.012066231826887276,1.0567446178047903,4.09225709180589,5.418879160971961,5.907639082970331,2.8093569128285174,15.418775335748181,18.2281322485767
2020,1,24,0.014765982326967379,1.293185194391253,5.007876258465657,6.631322443563864,7.2294396083837835,3.4379344869317063,18.868638310413303,22.30657279734501
2020,1,25,0.014931273173911429,1.307661148059812,5.063934574791766,6.705553664947038,7.310366171164199,3.476418828203331,19.079854410903003,22.556273239106336
2020,1,26,0.024628336194607952,2.1569170966152655,8.352689132590115,11.060451986093462,12.058057854281913,5.734166849471924,31.47119897296549,37.205365822437415
2020,1,27,0.013608946398361365,1.1918535187113406,4.615468044182902,6.11170389388162,6.66295366892087,3.168544098030342,17.39012560698539,20.55866970501573
2020,1,28,0.02110213145980886,1.8480967516860078,7.156778384299804,9.476852596585672,10.33162451496638,4.913167569010619,26.965255495851856,31.878423064862474
2020,1,29,0.025014014837476027,2.1906943218419026,8.483491870684364,11.233658169320877,12.24688650076955,5.823963645772376,31.964036540774792,37.788000186547166
2020,1,30,0.019008447398521033,1.6647346718842624,6.446706377502434,8.536590459065422,9.306554719747782,4.425699246236715,24.28985155631564,28.715550802552354
2020,1,31,0.015812824357608248,1.384866234292126,5.362912261864341,7.101453512323986,7.741974505993077,3.681668648318655,20.206340280181404,23.888008928500057
2020,2,1,0.011460165388091774,1.0036661210200744,3.886709931943494,5.146698015900309,5.6109083527754695,2.6682476614992354,14.644316300619275,17.31256396211851
2020,2,2,0.011405068439112155,0.9988408031305553,3.8680238265014575,5.1219542754392515,5.583932831848664,2.655419547742025,14.573910933789373,17.2293304815314
2020,2,3,0.016749472490291312,1.4668966384139592,5.680576054378955,7.522097100161993,8.200558361748769,3.8997465821911903,21.40323151628972,25.302978098480907
2020,2,4,0.019008447398521214,1.6647346718842615,6.446706377502434,8.53659045906542,9.306554719747776,4.425699246236715,24.28985155631563,28.715550802552343
2020,2,5,0.025014014837476922,2.1906943218419035,8.483491870684364,11.233658169320877,12.24688650076955,5.82396364577238,31.96403654077479,37.78800018654717
2020,2,6,0.04137780868490034,3.62381373502923,14.033265186969075,18.58254908625546,20.25861621603069,9.633913431663125,52.874430489255225,62.50834392091835
2020,2,7,0.04319600800128183,3.783049225383375,14.649906666556266,19.399092521470415,21.148808406615263,10.057241185650984,55.197807594641944,65.25504878029292
2020,2,8,0.0191737382454658,1.6792106255528225,6.502764693828542,8.6108216804486,9.387481282528201,4.464183587508338,24.501067656805343,28.96525124431368
2020,2,9,0.02016548332712651,1.7660663475641736,6.839114591785192,9.056209008747667,9.873040659210687,4.695089635138082,25.768364259743546,30.463453894881628
2020,2,10,0.023801881959888964,2.0845373282724693,8.072397550959574,10.689295879177575,11.653425040379835,5.541745143113802,30.415118470516983,35.95686361363079
2020,2,11,0.03195623040910997,2.7986843759213733,10.837941156380909,14.351369467414338,15.645802137547001,7.44030597918057,40.83511276134225,48.27541874052282
2020,2,12,0.033223460235677724,2.9096666873803247,11.267721581547738,14.920475498018698,16.26623911886352,7.7353525955963525,42.45443619842995,50.189788794026306
2020,2,13,0.022479555184338362,1.968729698924,7.623931020350704,10.095446108112153,11.006012538136508,5.233870412940814,28.725389666599366,33.95926007954018
2020,2,14,0.02435285144970073,2.1327905071676665,8.25925860537993,10.936733283788167,11.923180249647888,5.670026280685881,31.119172138815987,36.789198419501865
2020,2,15,0.03443559311326586,3.0158236809497567,11.67881590127253,15.464837788162004,16.85970057925324,8.01757109825493,44.00335426868777,52.0209253669427
2020,2,16,0.024022269755813168,2.1038385998305493,8.147141972727715,10.788270841021811,11.761327124087055,5.593057598142636,30.696739937836583,36.28979753597922
2020,2,17,0.03476617480715271,3.0447755882868752,11.79093253392475,15.61330023092836,17.02155370481406,8.09453978079818,44.42578646966717,52.520326250465345
2020,2,18,0.028980995164123172,2.538117209887313,9.828891462510962,13.015207482517138,14.189124007499519,6.747587836291344,37.033222952527616,43.78081078881896
2020,2,19,0.04027586970527609,3.5273073772388357,13.659543078128353,18.08767427703428,19.719105797494585,9.377351156518968,51.46632315265722,60.84367430917619
2020,2,20,0.0221489734904508,1.939777791586881,7.5118143876984895,9.946983665345797,10.844159412575682,5.156901730397569,28.30295746561997,33.45985919601754
2020,2,21,0.0368598588684391,3.2281376680886202,12.501004540722118,16.55356236844861,18.046623500032663,8.582008103572075,47.10119040920339,55.68319851277547
2020,2,22,0.0160332121535346,1.4041675058502041,5.437656683632487,7.2004284741682225,7.8498765897003,3.73298110334749,20.48796174750101,24.2209428508485
