YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,T2M,RH2M,WS2M,country,UV_B_W_m2_280_4000,UV_A_W_m2_280_4000,Blue_W_m2_280_4000,Green_W_m2_280_4000,Red_W_m2_280_4000,FarRed_W_m2_280_4000,NIR_W_m2_280_4000,SW_IR_W_m2_280_4000,IR_Tail_W_m2_280_4000,crop,m49_code,Unit,yield_t_ha
2020,1,2,3,0.0,0.0,0.0,0.27,94.03,3.06,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,4,0.0,0.0,0.0,0.43,94.71,3.25,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,5,0.0,0.0,0.0,0.53,95.28,3.4,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,6,0.0,0.0,0.0,0.69,95.68,3.72,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,7,0.0,0.0,0.0,0.79,95.98,3.89,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tomatoes,'056,kg/ha,502419.4
2020,1,2,8,0.11,0.18,0.1,0.99,95.82,4.13,Belgium,6.769528162627999e-05,0.0049336427969076,0.0151783338340288,0.016444492735621,0.0151696060566981,0.0064675919986093,0.0294787271638393,0.0206724773461063,0.0008528610624666,Tomatoes,'056,kg/ha,502419.4
2020,1,2,9,0.27,0.52,0.21,1.62,94.39,4.3,Belgium,0.0001661611458099,0.0121098505015006,0.0372559103198889,0.0403637548965243,0.0372344875937135,0.015874998542041,0.0723568757657874,0.0507415353040791,0.0020933862442362,Tomatoes,'056,kg/ha,502419.4
2020,1,2,10,0.37,0.78,0.26,2.49,92.66,4.57,Belgium,0.0002277023109247,0.0165949803168712,0.0510543956235515,0.0553132937470888,0.0510250385543481,0.0217546276316859,0.099155718642005,0.0695346965278121,0.0028687144828422,Tomatoes,'056,kg/ha,502419.4
2020,1,2,11,0.4,0.9,0.3,3.19,91.26,4.65,Belgium,0.0002461646604591,0.0179405192614824,0.0551939412146503,0.0597981554022582,0.0551622038425385,0.0235185163585793,0.1071953715048703,0.075172644894932,0.003101312954424,Tomatoes,'056,kg/ha,502419.4
2020,1,2,12,0.36,0.86,0.27,3.45,91.58,4.54,Belgium,0.0002215481944132,0.0161464673353341,0.0496745470931853,0.0538183398620324,0.0496459834582847,0.0211666647227214,0.0964758343543833,0.0676553804054388,0.0027911816589816,Tomatoes,'056,kg/ha,502419.4
