ADMIN,ISO_A3,lat,lon
Zimbabwe,ZWE,-18.985879705297517,29.843124699413014
Zambia,ZMB,-13.43231380258344,27.787494049480824
Yemen,YEM,15.897309419518526,47.561772920222296
Vietnam,VNM,16.51686369026278,106.1115467965827
Venezuela,VEN,7.1093696449672406,-66.13360777226917
Vatican,VAT,41.90174976560383,12.433871728094688
Vanuatu,VUT,-16.21340230400043,167.642720544074
Uzbekistan,UZB,41.694004290790765,63.23972957851468
Uruguay,URY,-32.78206449562325,-56.01450212035973
Federated States of Micronesia,FSM,7.448289821441494,153.25868703256484
Marshall Islands,MHL,7.000875149813717,170.3259758033407
Northern Mariana Islands,MNP,15.81505965016111,145.5842982930665
United States Virgin Islands,VIR,17.95443056754183,-64.80233156346232
Guam,GUM,13.441624182394689,144.7677096485356
American Samoa,ASM,-14.304457277402877,-170.71800194215584
Puerto Rico,PRI,18.227987207603164,-66.47291014017237
United States of America,USA,42.608369945043925,-103.17142180124284
South Georgia and the Islands,SGS,-54.45178761945214,-36.473693642504706
British Indian Ocean Territory,IOT,-7.330592813510938,72.44538451156734
Saint Helena,SHN,-12.333276083295297,-9.635515117275219
Pitcairn Islands,PCN,-24.365001355645738,-128.3170355643913
Anguilla,AIA,18.223956253053252,-63.06499240055802
Falkland Islands,FLK,-51.743437289413436,-59.34967203619241
Cayman Islands,CYM,19.42873692664635,-80.91292570496695
Bermuda,BMU,32.31366360905272,-64.75457174461127
British Virgin Islands,VGB,18.525745513282384,-64.47148248461019
Turks and Caicos Islands,TCA,21.83045683986852,-71.97387945420742
Montserrat,MSR,16.739409288237105,-62.185175839024836
Jersey,JEY,49.21836189251762,-2.1268899242209094
Guernsey,GGY,49.468091308713,-2.5723987288747225
Isle of Man,IMN,54.2239950009865,-4.538970125915351
United Kingdom,GBR,53.971835248919334,-2.7740386983545857
United Arab Emirates,ARE,23.900136278725864,54.29073582069136
Ukraine,UKR,49.106239285174894,31.290101338621138
Uganda,UGA,1.2737682332581433,32.36281858915294
Turkmenistan,TKM,39.07270322492945,59.410023389446515
Turkey,TUR,39.02856085323617,35.162525568359605
Tunisia,TUN,34.07980682787789,9.55198204250702
Trinidad and Tobago,TTO,10.457039286083463,-61.26538362210084
Tonga,TON,-20.418094615650624,-174.7775468669088
Togo,TGO,8.519695041792096,0.9634022880804577
East Timor,TLS,-8.828670786896817,125.84410287392093
Thailand,THA,15.063780805706909,100.8903294820394
United Republic of Tanzania,TZA,-6.259327990744793,34.7804855213467
Tajikistan,TJK,38.51811887159931,71.01685980640642
Taiwan,TWN,23.74878663895223,120.94408330815139
Syria,SYR,35.00367507015022,38.48139261128697
Switzerland,CHE,46.79384184057709,8.20645342837449
Sweden,SWE,62.279542939675025,16.274491908404357
eSwatini,SWZ,-26.55690348475129,31.481335721875027
Suriname,SUR,4.128991818872064,-55.90689437813755
South Sudan,SSD,7.299714570337904,30.240719172683274
Sudan,SDN,15.92126824056653,29.878956556750307
Sri Lanka,LKA,7.610299846167733,80.69509741256331
Spain,ESP,40.152557152035264,-3.689458164380009
South Korea,KOR,36.36748885280722,127.81521324434003
South Africa,ZAF,-28.900675767187092,25.146257853088525
Somalia,SOM,4.730778845835873,45.6409483269176
Somaliland,-99,9.7312937812522,46.250009137624254
Solomon Islands,SLB,-8.917156071180521,159.60325480260533
Slovakia,SVK,48.7016692516294,19.47025014609807
Slovenia,SVN,46.113155202954296,14.80094904976469
Singapore,SGP,1.3587608276686107,103.81723229611463
Sierra Leone,SLE,8.56165908374521,-11.792039641163123
Seychelles,SYC,-4.660988469107154,55.4760070739443
Republic of Serbia,SRB,44.204349016493396,20.800487367993764
Senegal,SEN,14.359587479652825,-14.468402976500913
Saudi Arabia,SAU,23.99984140952956,44.57647365228576
São Tomé and Principe,STP,0.4438358153769496,6.724076664637092
San Marino,SMR,43.94185710900514,12.459215389395093
Samoa,WSM,-13.75309614630379,-172.16472495129838
Saint Vincent and the Grenadines,VCT,13.224663560396996,-61.201232951131175
Saint Lucia,LCA,13.894760118141619,-60.96964731049547
Saint Kitts and Nevis,KNA,17.26454935782412,-62.687431242312265
